long,lat,group,csd_code
-80.5452227,43.4439453,3530016_1,3530016
-80.5451902,43.444007500000005,3530016_1,3530016
-80.5451592,43.4440667,3530016_1,3530016
-80.54364799999999,43.4432951,3530016_1,3530016
-80.54281309999999,43.4428708,3530016_1,3530016
-80.54187639999999,43.4431206,3530016_1,3530016
-80.54168349999999,43.44324220000001,3530016_1,3530016
-80.5411383,43.443438099999995,3530016_1,3530016
-80.5412211,43.4435384,3530016_1,3530016
-80.5413097,43.443645900000014,3530016_1,3530016
-80.54120979999999,43.44378959999999,3530016_1,3530016
-80.5420288,43.4449724,3530016_1,3530016
-80.5421674,43.445055999999994,3530016_1,3530016
-80.54245999999999,43.44565049999999,3530016_1,3530016
-80.5392945,43.447131000000006,3530016_1,3530016
-80.5411276,43.449263,3530016_1,3530016
-80.5347716,43.4511355,3530016_1,3530016
-80.53412229999999,43.450637199999996,3530016_1,3530016
-80.5297133,43.4518693,3530016_1,3530016
-80.5293419,43.4519794,3530016_1,3530016
-80.5289269,43.4521142,3530016_1,3530016
-80.5263578,43.45300350000001,3530016_1,3530016
-80.5267745,43.4534464,3530016_1,3530016
-80.52711769999999,43.453826,3530016_1,3530016
-80.527126,43.4538352,3530016_1,3530016
-80.5271291,43.4538386,3530016_1,3530016
-80.5234828,43.454600299999996,3530016_1,3530016
-80.5221759,43.45479339999999,3530016_1,3530016
-80.52170269999999,43.45493389999999,3530016_1,3530016
-80.521181,43.4554276,3530016_1,3530016
-80.5206029,43.455961699999996,3530016_1,3530016
-80.5198884,43.456441,3530016_1,3530016
-80.51954669999999,43.4565506,3530016_1,3530016
-80.5192922,43.45655680000001,3530016_1,3530016
-80.5190741,43.4567634,3530016_1,3530016
-80.5190676,43.4567695,3530016_1,3530016
-80.5190659,43.456771,3530016_1,3530016
-80.518998,43.456752099999996,3530016_1,3530016
-80.51887529999999,43.4567181,3530016_1,3530016
-80.5176268,43.4571326,3530016_1,3530016
-80.5159295,43.4577479,3530016_1,3530016
-80.51531279999999,43.4579076,3530016_1,3530016
-80.5147573,43.458211,3530016_1,3530016
-80.513359,43.4587535,3530016_1,3530016
-80.51255139999999,43.458969599999996,3530016_1,3530016
-80.51204349999999,43.458808,3530016_1,3530016
-80.5117173,43.458946499999996,3530016_1,3530016
-80.5113983,43.459494600000006,3530016_1,3530016
-80.5110734,43.45937149999999,3530016_1,3530016
-80.5079521,43.460438499999995,3530016_1,3530016
-80.5052199,43.461451,3530016_1,3530016
-80.504897,43.4614665,3530016_1,3530016
-80.5047038,43.4618861,3530016_1,3530016
-80.5046011,43.4619281,3530016_1,3530016
-80.501665,43.463125999999995,3530016_1,3530016
-80.5004154,43.463221700000005,3530016_1,3530016
-80.5008297,43.463765599999995,3530016_1,3530016
-80.5004234,43.463848,3530016_1,3530016
-80.5012871,43.464259999999996,3530016_1,3530016
-80.50165330000002,43.464422299999995,3530016_1,3530016
