long,lat,group
-79.6831627,43.2337895,1
-79.6837623,43.23396749999999,1
-79.6840189,43.2340605,1
-79.6843756,43.2340826,1
-79.6845235,43.2340753,1
-79.68469689999999,43.2340323,1
-79.6849826,43.2339185,1
-79.68515529999999,43.2339025,1
-79.68546309999999,43.2339061,1
-79.68573339999999,43.233936199999995,1
-79.6859169,43.23399229999998,1
-79.68651849999999,43.2340802,1
-79.6867274,43.23410070000001,1
-79.6873665,43.234162,1
-79.6877208,43.2342922,1
-79.6881624,43.234378199999995,1
-79.6885298,43.234472499999995,1
-79.68871349999999,43.2345197,1
-79.6893053,43.2347246,1
-79.68938589999999,43.2347525,1
-79.6894222,43.23477990000001,1
-79.6896769,43.234962899999985,1
-79.6898851,43.2350193,1
-79.69052529999999,43.2350266,1
-79.6912725,43.23521530000001,1
-79.69160169999999,43.2353721,1
-79.6918705,43.2354743,1
-79.6922862,43.2356141,1
-79.6924707,43.2356252,1
-79.6927283,43.235673199999994,1
-79.6927406,43.2356733,1
-79.6928636,43.2356837,1
-79.6929372,43.2356936,1
-79.6931462,43.23571400000001,1
-79.69339049999999,43.2358068,1
-79.6934888,43.2358169,1
-79.6935869,43.2358361,1
-79.69378429999999,43.23582029999999,1
-79.6943369,43.235898600000006,1
-79.6945092,43.2359006,1
-79.6945463,43.23589199999999,1
-79.6946518,43.2358608,1
-79.69486859999999,43.235796699999995,1
-79.6950787,43.235763,1
-79.6954608,43.2357494,1
-79.6960912,43.2356395,1
-79.6961778,43.2356225,1
-79.6961901,43.23562260000001,1
-79.6964121,43.23560710000001,1
-79.6966588,43.235592,1
-79.6969179,43.235567899999985,1
-79.6969302,43.235568000000015,1
-79.697152,43.2355616,1
-79.6972136,43.235562300000005,1
-79.6973494,43.2355458,1
-79.69755909999999,43.235530200000014,1
-79.6979285,43.2355344,1
-79.6981624,43.235537000000015,1
-79.6981994,43.2355375,1
-79.698667,43.2355518,1
-79.6991336,43.2356201,1
-79.6995266,43.2356696,1
-79.699711,43.235689699999995,1
-79.7000439,43.2356665,1
-79.7004864,43.2357075,1
-79.7007208,43.23569220000001,1
-79.70095700000002,43.2355868,1
-79.7011784,43.2355984,1
-79.70137410000001,43.235663599999995,1
-79.7014109,43.235673,1
-79.7017541,43.235749,1
-79.7028122,43.235797000000005,1
-79.70302149999999,43.2357994,1
-79.7031452,43.2357737,1
-79.7033543,43.23578510000001,1
-79.703575,43.235832599999995,1
-79.7038582,43.23583580000001,1
-79.7039575,43.235800999999995,1
-79.7040825,43.23571229999999,1
-79.70428009999999,43.2356876,1
-79.70456159999999,43.2357718,1
-79.70463560000002,43.235763600000006,1
-79.70504609999999,43.2355702,1
-79.70527059999999,43.2354376,1
-79.7055051,43.2354133,1
-79.7058124,43.2354438,1
-79.7063397,43.2355488,1
-79.7065239,43.2355779,1
-79.7065362,43.235578,1
-79.7069777,43.23566410000001,1
-79.70833619999999,43.2360666,1
-79.70885109999999,43.2361805,1
-79.7090468,43.2362457,1
-79.7092919,43.236302500000015,1
-79.7095732,43.2363957,1
-79.70997679999999,43.2365263,1
-79.71031839999999,43.2366833,1
-79.7104531,43.236720800000015,1
-79.7107238,43.2367329,1
-79.7109196,43.23678910000001,1
-79.71099319999999,43.236807899999995,1
-79.7115548,43.2370394,1
-79.71206699999999,43.23727929999999,1
-79.7124089,43.2374182,1
-79.712873,43.237603499999985,1
-79.7131187,43.237633300000006,1
-79.7131551,43.2376607,1
-79.71378729999999,43.23805500000001,1
-79.7138484,43.2380737,1
-79.7138482,43.2380827,1
-79.7140447,43.23811189999999,1
-79.7141544,43.2381672,1
-79.7142767,43.2382046,1
-79.7144963,43.23830610000001,1
-79.7145567,43.238360799999995,1
-79.71491209999999,43.2384458,1
-79.7152074,43.2384582,1
-79.7154121,43.2385002,1
-79.7156244,43.2385439,1
-79.7165271,43.23895919999999,1
-79.71713629999999,43.2392722,1
-79.7178198,43.23956799999999,1
-79.7184063,43.2397907,1
-79.7190287,43.2400678,1
-79.7195527,43.2403348,1
-79.7200762,43.2406288,1
-79.72055189999999,43.2408503,1
-79.7210632,43.24113510000001,1
-79.7213311,43.2412822,1
-79.7217809,43.241566299999995,1
-79.722279,43.24189609999999,1
-79.722875,43.2422539,1
-79.7232995,43.2425738,1
-79.7233485,43.2425834,1
-79.7237737,43.2428672,1
-79.7240302,43.2429692,1
